mnem,pref,twobyte,pri_opcd,sec_opcd,+r,op_size,sign-ext,direction,tttn,mem_format,opcd_ext,mode,ring,lock,fpush,fpop,alias,part_alias,instr_ext,grp1,grp2,grp3,test_f,modif_f,def_f,undef_f,f_vals,exclusive,brief,op1_m,op1_t,op2_m,op2_t,op3_m,op3_t,op4_m,op4_t
add,,0,0,,,0,,0,,,,,,yes,,,,,,gen,arith,binary,,oszapc,oszapc,,,,Add,4,1,6,1,,,,
add,,0,1,,,1,,0,,,,,,yes,,,,,,gen,arith,binary,,oszapc,oszapc,,,,Add,4,36,6,36,,,,
add,,0,2,,,0,,1,,,,,,,,,,,,gen,arith,binary,,oszapc,oszapc,,,,Add,6,1,4,1,,,,
add,,0,3,,,1,,1,,,,,,,,,,,,gen,arith,binary,,oszapc,oszapc,,,,Add,6,36,4,36,,,,
add,,0,4,,,0,,,,,,,,,,,,,,gen,arith,binary,,oszapc,oszapc,,,,Add,102,1,8,1,,,,
add,,0,5,,,1,,,,,,,,,,,,,,gen,arith,binary,,oszapc,oszapc,,,,Add,105,36,8,35,,,,
push,,0,6,,,,,,,,,,,,,,,,,gen,stacksegreg,,,,,,,32,Push Word Doubleword or Quadword Onto the Stack,904,16,,,,,,
pop,,0,7,,,,,,,,,,,,,,,,,gen,stacksegreg,,,,,,,32,Pop a Value from the Stack,904,16,,,,,,
or,,0,8,,,0,,0,,,,,,yes,,,,,,gen,logical,,,oszapc,oszpc,a,oc,,Logical Inclusive OR,4,1,6,1,,,,
or,,0,9,,,1,,0,,,,,,yes,,,,,,gen,logical,,,oszapc,oszpc,a,oc,,Logical Inclusive OR,4,36,6,36,,,,
or,,0,0A,,,0,,1,,,,,,,,,,,,gen,logical,,,oszapc,oszpc,a,oc,,Logical Inclusive OR,6,1,4,1,,,,
or,,0,0B,,,1,,1,,,,,,,,,,,,gen,logical,,,oszapc,oszpc,a,oc,,Logical Inclusive OR,6,36,4,36,,,,
or,,0,0C,,,0,,,,,,,,,,,,,,gen,logical,,,oszapc,oszpc,a,oc,,Logical Inclusive OR,102,1,8,1,,,,
or,,0,0D,,,1,,,,,,,,,,,,,,gen,logical,,,oszapc,oszpc,a,oc,,Logical Inclusive OR,105,36,8,35,,,,
push,,0,0E,,,,,,,,,,,,,,,,,gen,stacksegreg,,,,,,,32,Push Word Doubleword or Quadword Onto the Stack,902,16,,,,,,
pop,,0,0F,,,,,,,,,,,,,,,,,gen,stacksegreg,,,,,,,,Pop a Value from the Stack,902,16,,,,,,
adc,,0,10,,,0,,0,,,,,,yes,,,,,,gen,arith,binary,c,oszapc,oszapc,,,,Add with Carry,4,1,6,1,,,,
adc,,0,11,,,1,,0,,,,,,yes,,,,,,gen,arith,binary,c,oszapc,oszapc,,,,Add with Carry,4,36,6,36,,,,
adc,,0,12,,,0,,1,,,,,,,,,,,,gen,arith,binary,c,oszapc,oszapc,,,,Add with Carry,6,1,4,1,,,,
adc,,0,13,,,1,,1,,,,,,,,,,,,gen,arith,binary,c,oszapc,oszapc,,,,Add with Carry,6,36,4,36,,,,
adc,,0,14,,,0,,,,,,,,,,,,,,gen,arith,binary,c,oszapc,oszapc,,,,Add with Carry,102,1,8,1,,,,
adc,,0,15,,,1,,,,,,,,,,,,,,gen,arith,binary,c,oszapc,oszapc,,,,Add with Carry,105,36,8,35,,,,
push,,0,16,,,,,,,,,,,,,,,,,gen,stacksegreg,,,,,,,32,Push Word Doubleword or Quadword Onto the Stack,901,16,,,,,,
pop,,0,17,,,,,,,,,,,,,,,,,gen,stacksegreg,,,,,,,32,Pop a Value from the Stack,901,16,,,,,,
sbb,,0,18,,,0,,0,,,,,,yes,,,,,,gen,arith,binary,c,oszapc,oszapc,,,,Integer Subtraction with Borrow,4,1,6,1,,,,
sbb,,0,19,,,1,,0,,,,,,yes,,,,,,gen,arith,binary,c,oszapc,oszapc,,,,Integer Subtraction with Borrow,4,36,6,36,,,,
sbb,,0,1A,,,0,,1,,,,,,,,,,,,gen,arith,binary,c,oszapc,oszapc,,,,Integer Subtraction with Borrow,6,1,4,1,,,,
sbb,,0,1B,,,1,,1,,,,,,,,,,,,gen,arith,binary,c,oszapc,oszapc,,,,Integer Subtraction with Borrow,6,36,4,36,,,,
sbb,,0,1C,,,0,,,,,,,,,,,,,,gen,arith,binary,c,oszapc,oszapc,,,,Integer Subtraction with Borrow,102,1,8,1,,,,
sbb,,0,1D,,,1,,,,,,,,,,,,,,gen,arith,binary,c,oszapc,oszapc,,,,Integer Subtraction with Borrow,105,36,8,35,,,,
push,,0,1E,,,,,,,,,,,,,,,,,gen,stacksegreg,,,,,,,32,Push Word Doubleword or Quadword Onto the Stack,903,16,,,,,,
pop,,0,1F,,,,,,,,,,,,,,,,,gen,stacksegreg,,,,,,,32,Pop a Value from the Stack,903,16,,,,,,
and,,0,20,,,0,,0,,,,,,yes,,,,,,gen,logical,,,oszapc,oszpc,a,oc,,Logical AND,4,1,6,1,,,,
and,,0,21,,,1,,0,,,,,,yes,,,,,,gen,logical,,,oszapc,oszpc,a,oc,,Logical AND,4,36,6,36,,,,
and,,0,22,,,0,,1,,,,,,,,,,,,gen,logical,,,oszapc,oszpc,a,oc,,Logical AND,6,1,4,1,,,,
and,,0,23,,,1,,1,,,,,,,,,,,,gen,logical,,,oszapc,oszpc,a,oc,,Logical AND,6,36,4,36,,,,
and,,0,24,,,0,,,,,,,,,,,,,,gen,logical,,,oszapc,oszpc,a,oc,,Logical AND,102,1,8,1,,,,
and,,0,25,,,1,,,,,,,,,,,,,,gen,logical,,,oszapc,oszpc,a,oc,,Logical AND,105,36,8,35,,,,
daa,,0,27,,,,,,,,,,,,,,,,,gen,arith,decimal,ac,oszapc,szapc,o,,32,Decimal Adjust AL after Addition,,,,,,,,
sub,,0,28,,,0,,0,,,,,,yes,,,,,,gen,arith,binary,,oszapc,oszapc,,,,Subtract,4,1,6,1,,,,
sub,,0,29,,,1,,0,,,,,,yes,,,,,,gen,arith,binary,,oszapc,oszapc,,,,Subtract,4,36,6,36,,,,
sub,,0,2A,,,0,,1,,,,,,,,,,,,gen,arith,binary,,oszapc,oszapc,,,,Subtract,6,1,4,1,,,,
sub,,0,2B,,,1,,1,,,,,,,,,,,,gen,arith,binary,,oszapc,oszapc,,,,Subtract,6,36,4,36,,,,
sub,,0,2C,,,0,,,,,,,,,,,,,,gen,arith,binary,,oszapc,oszapc,,,,Subtract,102,1,8,1,,,,
sub,,0,2D,,,1,,,,,,,,,,,,,,gen,arith,binary,,oszapc,oszapc,,,,Subtract,105,36,8,35,,,,
das,,0,2F,,,,,,,,,,,,,,,,,gen,arith,decimal,ac,oszapc,szapc,o,,32,Decimal Adjust AL after Subtraction,,,,,,,,
xor,,0,30,,,0,,0,,,,,,yes,,,,,,gen,logical,,,oszapc,oszpc,a,oc,,Logical Exclusive OR,4,1,6,1,,,,
xor,,0,31,,,1,,0,,,,,,yes,,,,,,gen,logical,,,oszapc,oszpc,a,oc,,Logical Exclusive OR,4,36,6,36,,,,
xor,,0,32,,,0,,1,,,,,,,,,,,,gen,logical,,,oszapc,oszpc,a,oc,,Logical Exclusive OR,6,1,4,1,,,,
xor,,0,33,,,1,,1,,,,,,,,,,,,gen,logical,,,oszapc,oszpc,a,oc,,Logical Exclusive OR,6,36,4,36,,,,
xor,,0,34,,,0,,,,,,,,,,,,,,gen,logical,,,oszapc,oszpc,a,oc,,Logical Exclusive OR,102,1,8,1,,,,
xor,,0,35,,,1,,,,,,,,,,,,,,gen,logical,,,oszapc,oszpc,a,oc,,Logical Exclusive OR,105,36,8,35,,,,
aaa,,0,37,,,,,,,,,,,,,,,,,gen,arith,decimal,a,oszapc,ac,oszp,,32,ASCII Adjust After Addition,,,,,,,,
cmp,,0,38,,,0,,0,,,,,,,,,,,,gen,arith,binary,,oszapc,oszapc,,,,Compare Two Operands,4,1,6,1,,,,
cmp,,0,39,,,1,,0,,,,,,,,,,,,gen,arith,binary,,oszapc,oszapc,,,,Compare Two Operands,4,36,6,36,,,,
cmp,,0,3A,,,0,,1,,,,,,,,,,,,gen,arith,binary,,oszapc,oszapc,,,,Compare Two Operands,6,1,4,1,,,,
cmp,,0,3B,,,1,,1,,,,,,,,,,,,gen,arith,binary,,oszapc,oszapc,,,,Compare Two Operands,6,36,4,36,,,,
cmp,,0,3C,,,0,,,,,,,,,,,,,,gen,arith,binary,,oszapc,oszapc,,,,Compare Two Operands,102,1,8,1,,,,
cmp,,0,3D,,,1,,,,,,,,,,,,,,gen,arith,binary,,oszapc,oszapc,,,,Compare Two Operands,105,36,8,35,,,,
aas,,0,3F,,,,,,,,,,,,,,,,,gen,arith,decimal,a,oszapc,ac,oszp,,32,ASCII Adjust AL After Subtraction,,,,,,,,
inc,,0,40,,1,,,,,,,,,,,,,,,gen,arith,binary,,oszap,oszap,,,32,Increment by 1,23,15,,,,,,
inc,,0,41,,1,,,,,,,,,,,,,,,gen,arith,binary,,oszap,oszap,,,32,Increment by 1,23,15,,,,,,
inc,,0,42,,1,,,,,,,,,,,,,,,gen,arith,binary,,oszap,oszap,,,32,Increment by 1,23,15,,,,,,
inc,,0,43,,1,,,,,,,,,,,,,,,gen,arith,binary,,oszap,oszap,,,32,Increment by 1,23,15,,,,,,
inc,,0,44,,1,,,,,,,,,,,,,,,gen,arith,binary,,oszap,oszap,,,32,Increment by 1,23,15,,,,,,
inc,,0,45,,1,,,,,,,,,,,,,,,gen,arith,binary,,oszap,oszap,,,32,Increment by 1,23,15,,,,,,
inc,,0,46,,1,,,,,,,,,,,,,,,gen,arith,binary,,oszap,oszap,,,32,Increment by 1,23,15,,,,,,
inc,,0,47,,1,,,,,,,,,,,,,,,gen,arith,binary,,oszap,oszap,,,32,Increment by 1,23,15,,,,,,
dec,,0,48,,1,,,,,,,,,,,,,,,gen,arith,binary,,oszap,oszap,,,32,Decrement by 1,23,15,,,,,,
dec,,0,49,,1,,,,,,,,,,,,,,,gen,arith,binary,,oszap,oszap,,,32,Decrement by 1,23,15,,,,,,
dec,,0,4a,,1,,,,,,,,,,,,,,,gen,arith,binary,,oszap,oszap,,,32,Decrement by 1,23,15,,,,,,
dec,,0,4b,,1,,,,,,,,,,,,,,,gen,arith,binary,,oszap,oszap,,,32,Decrement by 1,23,15,,,,,,
dec,,0,4c,,1,,,,,,,,,,,,,,,gen,arith,binary,,oszap,oszap,,,32,Decrement by 1,23,15,,,,,,
dec,,0,4d,,1,,,,,,,,,,,,,,,gen,arith,binary,,oszap,oszap,,,32,Decrement by 1,23,15,,,,,,
dec,,0,4e,,1,,,,,,,,,,,,,,,gen,arith,binary,,oszap,oszap,,,32,Decrement by 1,23,15,,,,,,
dec,,0,4f,,1,,,,,,,,,,,,,,,gen,arith,binary,,oszap,oszap,,,32,Decrement by 1,23,15,,,,,,
push,,0,50,,1,,,,,,,,,,,,,,,gen,stack,,,,,,,,Push Word Doubleword or Quadword Onto the Stack,23,15,,,,,,
push,,0,51,,1,,,,,,,,,,,,,,,gen,stack,,,,,,,,Push Word Doubleword or Quadword Onto the Stack,23,15,,,,,,
push,,0,52,,1,,,,,,,,,,,,,,,gen,stack,,,,,,,,Push Word Doubleword or Quadword Onto the Stack,23,15,,,,,,
push,,0,53,,1,,,,,,,,,,,,,,,gen,stack,,,,,,,,Push Word Doubleword or Quadword Onto the Stack,23,15,,,,,,
push,,0,54,,1,,,,,,,,,,,,,,,gen,stack,,,,,,,,Push Word Doubleword or Quadword Onto the Stack,23,15,,,,,,
push,,0,55,,1,,,,,,,,,,,,,,,gen,stack,,,,,,,,Push Word Doubleword or Quadword Onto the Stack,23,15,,,,,,
push,,0,56,,1,,,,,,,,,,,,,,,gen,stack,,,,,,,,Push Word Doubleword or Quadword Onto the Stack,23,15,,,,,,
push,,0,57,,1,,,,,,,,,,,,,,,gen,stack,,,,,,,,Push Word Doubleword or Quadword Onto the Stack,23,15,,,,,,
push,,0,50,,1,,,,,,,e,,,,,,,,gen,stack,,,,,,,,Push Word Doubleword or Quadword Onto the Stack,23,48,,,,,,
push,,0,51,,1,,,,,,,e,,,,,,,,gen,stack,,,,,,,,Push Word Doubleword or Quadword Onto the Stack,23,48,,,,,,
push,,0,52,,1,,,,,,,e,,,,,,,,gen,stack,,,,,,,,Push Word Doubleword or Quadword Onto the Stack,23,48,,,,,,
push,,0,53,,1,,,,,,,e,,,,,,,,gen,stack,,,,,,,,Push Word Doubleword or Quadword Onto the Stack,23,48,,,,,,
push,,0,54,,1,,,,,,,e,,,,,,,,gen,stack,,,,,,,,Push Word Doubleword or Quadword Onto the Stack,23,48,,,,,,
push,,0,55,,1,,,,,,,e,,,,,,,,gen,stack,,,,,,,,Push Word Doubleword or Quadword Onto the Stack,23,48,,,,,,
push,,0,56,,1,,,,,,,e,,,,,,,,gen,stack,,,,,,,,Push Word Doubleword or Quadword Onto the Stack,23,48,,,,,,
push,,0,57,,1,,,,,,,e,,,,,,,,gen,stack,,,,,,,,Push Word Doubleword or Quadword Onto the Stack,23,48,,,,,,
pop,,0,58,,1,,,,,,,,,,,,,,,gen,stack,,,,,,,,Pop a Value from the Stack,23,15,,,,,,
pop,,0,59,,1,,,,,,,,,,,,,,,gen,stack,,,,,,,,Pop a Value from the Stack,23,15,,,,,,
pop,,0,5a,,1,,,,,,,,,,,,,,,gen,stack,,,,,,,,Pop a Value from the Stack,23,15,,,,,,
pop,,0,5b,,1,,,,,,,,,,,,,,,gen,stack,,,,,,,,Pop a Value from the Stack,23,15,,,,,,
pop,,0,5c,,1,,,,,,,,,,,,,,,gen,stack,,,,,,,,Pop a Value from the Stack,23,15,,,,,,
pop,,0,5d,,1,,,,,,,,,,,,,,,gen,stack,,,,,,,,Pop a Value from the Stack,23,15,,,,,,
pop,,0,5e,,1,,,,,,,,,,,,,,,gen,stack,,,,,,,,Pop a Value from the Stack,23,15,,,,,,
pop,,0,5f,,1,,,,,,,,,,,,,,,gen,stack,,,,,,,,Pop a Value from the Stack,23,15,,,,,,
pop,,0,58,,1,,,,,,,e,,,,,,,,gen,stack,,,,,,,,Pop a Value from the Stack,23,48,,,,,,
pop,,0,59,,1,,,,,,,e,,,,,,,,gen,stack,,,,,,,,Pop a Value from the Stack,23,48,,,,,,
pop,,0,5a,,1,,,,,,,e,,,,,,,,gen,stack,,,,,,,,Pop a Value from the Stack,23,48,,,,,,
pop,,0,5b,,1,,,,,,,e,,,,,,,,gen,stack,,,,,,,,Pop a Value from the Stack,23,48,,,,,,
pop,,0,5c,,1,,,,,,,e,,,,,,,,gen,stack,,,,,,,,Pop a Value from the Stack,23,48,,,,,,
pop,,0,5d,,1,,,,,,,e,,,,,,,,gen,stack,,,,,,,,Pop a Value from the Stack,23,48,,,,,,
pop,,0,5e,,1,,,,,,,e,,,,,,,,gen,stack,,,,,,,,Pop a Value from the Stack,23,48,,,,,,
pop,,0,5f,,1,,,,,,,e,,,,,,,,gen,stack,,,,,,,,Pop a Value from the Stack,23,48,,,,,,
pusha,,0,60,,,,,,,,,,,,,,,,,gen,stack,,,,,,,32,Push All General-Purpose Registers,,,,,,,,
pushad,,0,60,,,,,,,,,,,,,,,,,gen,stack,,,,,,,32,Push All General-Purpose Registers,,,,,,,,
popa,,0,61,,,,,,,,,,,,,,,,,gen,stack,,,,,,,32,Pop All General-Purpose Registers,,,,,,,,
popad,,0,61,,,,,,,,,,,,,,,,,gen,stack,,,,,,,32,Pop All General-Purpose Registers,,,,,,,,
bound,,0,62,,,,,1,,,,,f,,,,,,,gen,breakstack,,,i,i,,i,32,Check Array Index Against Bounds,6,15,11,0,,,,
arpl,,0,63,,,,,,,,,,,,,,,,,system,,,,z,z,,,32,Adjust RPL Field of Segment Selector,4,16,6,16,,,,
movsxd,,0,63,,,,,1,,,,e,,,,,,,,gen,conver,,,,,,,64,Move with Sign-Extension,6,25,4,3,,,,
